S1,S2,S3,S4,S5
274,154,164,143,198
273,156,165,145,198
269,153,163,144,195
266,151,161,143,193
264,150,160,140,190
262,149,158,139,188
258,146,156,138,186
257,146,156,138,185
254,145,155,137,184
250,140,150,132,179
251,142,153,135,181
248,141,151,135,180
247,140,151,134,178
245,139,150,133,177
243,138,149,132,176
242,137,148,132,174
240,137,147,131,173
237,134,145,129,171
235,131,142,126,168
235,132,143,128,169
235,133,144,129,169
231,132,142,127,167
227,127,139,123,164
229,130,141,126,165
229,124,128,121,160
231,127,140,125,163
234,131,145,129,166
244,134,148,134,170
277,143,162,149,191
321,162,187,174,212
358,182,213,198,242
386,201,232,214,263
406,216,248,226,282
421,230,262,242,297
433,242,273,253,310
442,249,280,260,318
449,257,286,265,324
454,261,291,269,330
458,265,294,272,333
462,268,297,274,335
464,271,298,276,338
466,273,300,278,340
467,272,300,277,340
469,275,302,280,343
471,277,303,280,343
471,277,304,281,344
471,278,304,281,344
472,279,304,281,345
473,279,305,282,347
474,280,306,282,346
473,279,304,281,345
473,279,304,281,346
471,278,303,280,345
471,279,304,280,345
470,278,302,279,344
470,278,302,278,344
470,278,302,278,344
471,278,302,278,344
479,278,302,278,344
470,278,301,278,344
471,279,302,278,344
470,278,301,277,344
469,278,301,277,351
469,277,301,276,343
468,277,300,275,342
468,277,300,275,342
467,276,299,274,341
466,276,299,274,340
464,273,296,271,339
465,275,298,272,340
464,274,297,272,339
464,274,296,271,338
471,274,296,271,337
462,272,295,270,338
462,273,295,269,337
461,272,294,268,336
459,270,292,266,334
458,269,291,265,334
459,270,292,266,334
460,271,293,267,335
460,271,293,267,335
460,271,293,268,343
460,271,293,268,335
460,271,293,268,336
460,279,293,268,336
460,279,293,268,336
460,279,293,268,336
460,279,293,268,336
460,279,293,268,335
459,271,292,267,334
458,270,292,266,334
457,270,291,265,333
457,268,290,264,332
463,267,289,262,330
463,267,288,263,330
456,269,290,271,331
456,268,290,264,331
456,268,290,264,331
463,268,289,264,331
455,268,289,264,331
455,268,289,264,331
454,267,289,264,331
454,266,287,262,330
453,266,287,261,329
452,266,287,261,329
452,266,287,261,328
451,265,286,260,328
451,265,286,260,328
451,265,286,260,327
450,265,286,260,335
450,265,286,260,335
450,265,286,260,326
450,264,286,260,327
450,264,285,260,327
450,264,285,260,326
450,264,285,259,326
448,263,284,259,326
449,264,285,259,326
449,264,285,259,326
447,261,282,257,323
447,261,282,257,324
447,262,283,257,324
448,263,284,258,324
447,263,283,258,324
455,263,283,258,324
446,262,283,257,323
445,262,282,256,323
444,261,281,255,322
442,258,278,252,319
440,257,279,253,319
440,258,278,252,318
440,258,278,252,318
440,257,277,252,318
439,257,277,252,318
439,257,277,252,318
440,257,277,251,317
440,257,278,252,318
440,257,278,253,318
440,257,278,253,318
440,257,278,253,319
440,257,278,253,319
440,257,278,253,318
440,257,278,252,318
439,257,278,252,318
439,257,277,252,318
438,255,275,249,316
438,254,275,250,316
437,255,276,250,317
438,256,276,251,316
438,255,276,251,316
438,256,276,251,316
438,256,276,251,316
437,263,276,250,315
436,255,274,249,314
434,254,274,248,312
434,253,273,247,312
433,252,273,247,312
434,252,273,247,312
434,253,273,248,312
434,253,273,248,313
434,253,273,248,313
435,253,273,249,313
433,251,271,247,319
433,251,272,247,311
433,252,272,249,313
434,253,274,249,313
434,253,273,248,313
434,253,273,248,313
433,253,273,248,312
433,252,273,248,312
432,252,272,247,312
431,250,270,245,309
430,249,269,246,311
430,250,271,246,310
430,250,270,246,310
429,250,270,245,309
429,250,270,245,309
429,249,269,245,309
428,248,268,244,309
428,249,269,245,309
427,247,267,242,307
428,249,269,245,309
428,249,269,245,309
428,249,269,244,308
428,249,269,244,308
428,249,269,242,309
429,249,270,245,309
429,249,270,245,309
427,247,267,243,307
427,247,268,243,307
428,248,268,244,308
429,249,270,245,309
428,249,269,245,309
428,249,269,245,309
428,249,269,245,308
428,249,269,245,309
427,249,269,245,308
426,246,267,242,306
426,248,268,244,308
426,248,268,244,308
426,248,268,243,307
425,247,267,243,307
424,246,266,243,307
423,245,266,243,306
425,247,267,243,307
424,247,267,242,306
423,246,266,242,305
431,246,266,241,304
423,246,265,242,305
423,246,266,242,305
431,246,266,242,305
423,246,266,242,305
424,246,266,242,305
424,246,266,242,305
423,244,264,240,303
422,244,264,240,303
423,245,265,241,304
424,246,266,242,304
423,246,266,242,304
431,246,266,242,304
423,245,266,242,304
422,245,265,241,303
431,246,266,242,304
422,245,265,241,304
421,245,265,241,303
421,244,264,240,303
420,244,264,240,302
420,244,263,240,302
420,243,271,239,302
420,243,263,240,302
419,243,263,239,301
417,241,261,238,296
417,240,260,236,299
417,241,261,237,300
418,242,262,238,301
418,242,262,239,301
419,242,262,239,301
419,242,262,239,301
419,243,263,239,301
419,242,262,239,301
