S1,S2,S3,S4,S5
147,186,179,162,171
145,183,177,160,168
140,177,170,156,162
137,173,166,152,158
133,169,162,148,153
129,164,158,145,149
126,160,154,142,146
124,158,151,140,143
122,155,148,137,140
115,148,142,131,134
117,149,143,134,135
116,147,140,132,133
114,145,138,130,131
113,143,136,129,129
111,141,134,127,127
110,139,132,126,125
109,137,131,125,124
108,136,128,122,120
107,134,127,123,121
105,131,124,121,118
105,132,125,121,118
279,291,247,294,263
287,300,255,300,272
296,311,266,309,282
302,318,272,313,288
308,325,279,318,294
312,330,284,321,299
316,334,288,324,303
327,337,292,327,306
321,339,295,328,309
322,342,298,330,312
324,343,298,330,312
327,345,302,333,316
328,347,304,334,318
329,348,306,335,319
330,350,308,336,321
331,350,309,336,322
332,351,310,337,323
333,352,311,338,324
334,353,313,337,324
333,352,312,337,325
335,354,315,338,326
335,354,315,340,328
337,356,317,340,329
337,356,318,341,330
337,357,319,341,331
338,357,327,341,331
338,357,320,342,332
337,357,327,341,331
339,358,321,342,333
338,358,322,343,333
339,359,323,343,334
340,359,323,343,334
340,359,324,343,335
340,360,324,344,335
340,360,325,344,336
341,360,325,344,336
340,359,324,343,335
341,361,326,344,337
342,361,327,344,338
342,361,335,344,338
341,361,327,344,338
342,362,328,345,339
343,362,328,345,339
343,363,329,345,340
341,361,328,342,337
342,362,328,344,339
342,362,329,345,340
344,364,331,346,341
344,364,331,346,341
344,364,331,346,342
344,364,332,346,342
344,364,332,346,342
344,364,332,346,342
342,363,331,345,341
343,364,332,346,342
344,364,332,346,343
344,364,333,346,343
344,364,333,346,343
344,365,333,346,343
344,365,333,346,343
344,365,334,346,343
345,365,334,347,344
345,365,334,347,344
345,365,334,347,351
345,365,335,347,344
345,366,335,347,344
345,366,335,347,344
345,366,343,347,345
345,366,335,347,345
345,366,335,347,345
344,365,334,346,344
345,366,336,347,345
344,365,335,347,345
345,366,336,347,345
345,366,336,347,346
345,366,336,347,346
345,366,336,347,346
345,366,336,347,346
344,366,336,346,345
343,365,335,345,344
344,366,336,346,345
344,366,336,346,345
344,366,336,346,346
343,365,336,346,345
344,366,337,346,346
344,366,337,346,346
344,366,337,346,346
343,365,336,342,342
343,365,336,345,345
343,364,336,345,345
344,366,337,346,346
344,366,337,346,346
344,366,337,346,346
344,366,337,346,346
344,366,337,346,346
344,366,337,346,346
342,365,336,344,345
342,365,336,344,345
343,365,337,345,346
344,366,338,346,346
344,366,338,346,346
343,366,338,345,346
343,366,338,344,346
343,366,338,345,346
343,366,338,345,346
343,366,338,345,346
343,366,338,345,346
343,366,338,345,346
343,366,337,344,346
343,366,338,345,346
351,366,338,345,347
343,366,338,344,347
343,366,338,345,347
340,365,337,344,345
342,365,337,344,345
351,367,337,344,346
343,366,338,345,346
343,366,338,345,347
343,366,338,345,347
343,366,338,345,347
343,366,338,345,347
343,366,338,345,347
341,365,337,343,345
341,365,337,345,347
343,366,339,345,347
343,367,339,345,347
343,366,338,344,346
343,366,339,344,347
343,366,339,345,347
343,366,339,344,347
342,366,339,344,347
342,366,339,344,346
342,366,338,344,346
342,366,338,344,346
342,366,339,344,347
342,366,339,344,347
342,366,338,344,346
342,366,339,344,346
342,366,339,344,347
340,365,337,343,345
341,365,337,343,345
341,365,338,343,346
342,366,339,344,346
342,366,339,344,347
342,366,339,343,346
342,366,338,343,345
341,366,339,343,346
341,366,338,343,346
340,365,337,342,345
341,366,338,343,346
341,365,338,343,345
341,366,338,343,346
342,366,339,343,346
342,366,338,343,346
341,366,339,343,346
341,366,339,351,346
341,366,339,342,345
340,365,337,342,345
341,366,339,342,345
341,366,339,343,346
341,366,338,343,346
341,366,338,343,346
341,366,338,343,345
341,366,338,343,346
340,365,338,342,346
339,364,337,341,345
340,365,338,342,346
339,364,337,342,345
340,365,338,342,345
339,364,337,342,345
340,365,338,342,346
340,365,338,342,345
340,365,338,342,345
340,365,338,342,345
340,365,338,342,345
340,365,338,342,345
340,365,338,342,345
340,365,338,342,344
340,365,338,342,345
340,365,338,342,345
340,365,338,342,345
340,365,338,342,345
336,362,337,340,344
338,364,336,340,344
338,364,337,340,344
339,365,338,341,345
339,365,338,341,345
339,365,338,341,345
338,364,337,340,344
339,365,338,341,345
339,364,338,341,345
337,363,336,339,343
339,364,337,341,345
339,364,338,341,345
339,364,337,341,344
338,364,337,340,344
338,364,337,339,344
338,364,337,340,345
338,364,337,340,344
338,364,337,339,343
338,364,337,340,344
338,364,337,339,343
338,364,337,340,344
337,363,336,339,343
338,364,337,340,344
338,364,337,340,344
338,364,337,340,344
337,363,336,339,343
336,363,336,339,343
338,364,337,340,344
338,364,337,340,344
338,364,337,339,343
338,364,337,340,344
338,364,337,340,344
338,364,337,340,344
337,364,337,340,344
338,364,337,340,344
336,363,336,339,343
337,364,337,340,344
