S1,S2,S3,S4,S5
189,231,254,219,221
191,233,256,221,223
190,232,255,220,222
190,232,255,220,222
190,231,254,220,222
190,231,254,219,221
187,229,252,217,219
187,229,252,217,219
188,230,252,218,220
188,229,252,218,221
189,229,252,218,220
189,230,253,218,220
189,230,253,218,220
189,230,253,218,220
189,230,253,218,220
189,230,253,218,220
189,230,253,218,220
189,230,253,218,220
186,227,251,216,218
189,230,253,218,220
189,230,253,218,220
361,384,432,406,368
367,389,436,412,371
370,394,441,416,375
372,397,444,420,377
375,400,446,423,378
375,400,447,423,378
375,401,446,424,378
375,401,446,424,377
374,400,446,424,377
375,400,446,424,377
373,399,444,423,375
374,399,444,424,375
373,399,443,424,374
372,407,442,423,374
372,398,442,431,374
372,397,442,422,373
370,396,441,421,371
370,396,441,421,371
369,396,440,420,371
366,394,437,419,368
367,395,438,420,369
367,395,438,419,369
367,393,437,419,368
366,393,436,418,367
365,393,435,417,375
364,392,434,417,366
364,391,434,416,365
360,388,432,414,363
361,388,432,414,362
361,389,431,413,363
362,389,432,414,363
362,389,432,414,363
361,388,432,413,363
361,389,431,413,364
361,388,431,413,363
360,388,430,413,362
367,386,429,412,361
359,387,430,412,362
357,387,430,411,361
358,386,429,411,361
358,386,429,410,361
357,385,428,409,360
356,385,427,409,360
356,384,426,409,359
355,384,426,408,356
355,382,424,407,357
353,384,425,407,357
355,391,425,407,358
355,391,424,407,358
354,382,424,406,357
354,383,423,405,357
353,382,423,405,356
353,382,423,405,357
352,381,421,404,355
352,380,422,403,355
352,381,421,404,355
352,381,421,404,355
359,381,421,403,355
352,380,421,403,355
359,380,421,403,355
351,379,421,402,354
350,379,420,402,354
350,379,420,401,354
350,379,420,401,354
349,379,419,401,353
349,378,419,400,353
349,378,418,400,353
348,378,417,400,353
348,377,417,400,353
348,377,418,399,352
346,376,416,397,350
346,377,416,398,351
345,376,416,397,351
347,376,416,398,351
346,376,415,398,351
346,376,423,398,350
346,375,416,397,350
345,383,416,397,351
345,375,415,397,351
344,374,414,395,349
344,375,423,396,350
345,374,414,395,349
344,374,413,395,349
344,374,413,395,349
344,374,412,395,349
344,374,413,394,349
351,373,412,393,349
351,373,412,393,349
343,372,411,393,348
342,372,411,392,347
342,372,411,392,348
342,372,410,392,347
341,372,410,392,347
341,371,410,391,347
341,371,409,399,347
341,371,409,399,347
339,369,408,390,345
338,370,408,389,344
339,370,407,389,345
339,370,408,389,345
339,370,408,389,345
339,370,407,389,345
339,370,407,389,345
338,369,407,388,345
337,369,406,388,344
335,367,404,386,342
337,368,406,387,344
337,368,406,387,344
335,375,404,386,343
336,368,405,386,344
336,368,405,386,344
337,369,405,387,343
346,374,412,396,350
360,382,425,407,358
370,393,434,418,367
380,401,445,428,375
386,408,452,435,381
390,412,454,438,384
391,413,455,440,385
391,414,457,440,385
390,413,456,439,385
387,411,453,436,383
384,408,450,434,379
381,406,448,439,378
378,404,445,429,376
376,402,443,427,374
374,400,440,424,371
371,398,447,422,369
370,395,436,420,368
367,394,434,417,365
365,392,432,416,364
361,390,429,414,362
361,389,428,411,362
359,388,426,410,360
357,386,424,408,358
356,384,422,406,357
354,383,421,404,355
352,381,419,402,355
350,380,418,402,354
349,379,416,407,352
348,378,415,399,351
346,376,413,398,350
345,376,413,396,349
345,375,413,395,349
344,374,411,394,348
343,373,410,393,347
342,372,409,392,346
340,371,408,390,346
338,368,405,389,344
338,369,406,389,344
338,368,405,388,343
337,368,405,387,343
337,367,404,386,342
336,367,404,386,342
335,367,402,385,342
334,366,402,384,341
334,365,401,384,340
332,364,399,382,339
332,364,400,382,340
331,364,399,381,339
331,363,407,381,339
331,363,399,380,338
330,362,398,380,338
330,362,397,379,338
329,362,398,379,338
328,360,396,377,337
327,360,396,377,336
327,360,395,377,336
328,361,396,377,337
328,360,395,376,337
327,360,395,376,337
327,360,394,376,337
326,358,393,383,336
326,367,394,375,336
326,359,393,374,335
324,359,393,374,335
324,358,392,373,335
324,358,392,373,334
323,358,392,373,334
323,357,391,372,334
323,356,390,372,333
323,356,390,371,333
322,356,389,369,332
322,356,389,370,333
321,355,389,370,333
321,356,390,370,333
321,355,389,369,332
321,355,389,369,332
321,355,388,369,332
320,354,388,368,332
319,354,388,367,331
317,353,386,366,330
317,352,386,367,331
318,353,387,366,330
318,353,386,366,330
316,351,385,364,329
317,352,386,365,330
317,352,385,365,330
316,352,385,364,329
317,351,385,364,329
317,351,384,364,329
316,352,384,364,329
316,359,384,364,329
316,350,384,364,329
316,351,384,363,329
316,350,384,363,329
315,350,391,363,329
315,350,383,362,328
314,349,379,367,325
313,349,382,361,327
313,349,382,360,326
314,350,382,361,328
314,349,382,361,328
314,349,382,361,328
314,349,382,361,328
314,349,382,361,326
313,349,382,361,327
312,348,382,360,327
313,348,381,360,327
