S1,S2,S3,S4,S5
339,296,290,303,357
337,294,287,299,353
331,289,282,295,348
328,286,279,292,344
325,284,276,289,341
323,281,273,287,338
320,279,271,284,335
318,277,269,282,333
316,275,267,280,331
310,270,261,274,325
307,268,260,270,319
309,269,260,273,324
308,269,260,273,324
306,267,258,272,322
305,266,257,270,321
304,265,256,269,319
302,264,255,268,318
301,263,253,266,316
297,259,249,263,312
298,260,251,264,313
297,260,250,263,312
289,253,243,256,305
290,254,244,257,305
287,251,241,254,302
288,252,242,255,302
293,257,246,263,309
301,265,253,271,316
311,275,263,283,328
339,299,287,315,358
387,337,329,363,408
441,389,381,416,464
492,439,431,472,515
538,478,480,517,565
573,511,520,556,599
603,540,555,585,628
622,563,578,615,650
637,580,595,621,664
646,590,606,630,673
654,598,614,637,680
659,604,619,640,685
660,605,622,641,686
660,608,621,642,695
663,609,623,643,689
664,610,623,643,688
664,609,623,642,686
662,609,622,641,686
661,608,620,640,684
660,607,618,638,682
659,605,616,636,681
655,602,614,634,679
655,602,614,634,679
663,601,612,633,678
653,599,610,631,676
650,596,607,629,675
649,595,606,627,673
655,593,604,624,671
646,592,602,622,669
644,588,600,619,665
644,589,599,620,666
642,588,597,617,665
642,587,596,617,665
641,587,595,616,664
640,585,594,615,662
639,584,593,614,661
637,582,599,613,660
636,582,590,612,659
633,580,588,610,656
633,579,587,609,663
632,578,587,608,656
631,578,586,606,654
631,577,585,605,654
630,576,584,604,653
629,573,582,603,651
628,573,581,602,650
627,572,579,601,648
624,570,577,599,647
625,570,578,600,647
624,569,577,599,646
623,567,576,597,645
622,566,574,596,644
621,565,573,595,643
620,565,572,595,643
618,564,572,593,641
616,561,569,592,639
617,562,569,591,639
616,562,569,591,639
616,562,569,599,640
615,562,568,590,638
615,560,568,589,638
614,560,575,588,637
614,559,566,588,636
613,558,566,587,635
611,556,564,585,634
611,556,563,585,633
610,555,562,585,634
611,555,562,584,633
610,554,561,583,631
609,554,562,583,632
609,554,561,583,631
608,553,560,582,639
608,553,560,582,630
608,552,559,581,631
615,551,559,581,630
606,559,558,580,630
606,550,558,579,629
605,549,557,579,629
605,549,557,578,629
604,549,556,578,628
603,548,556,578,627
601,547,553,576,626
601,546,553,575,624
600,546,553,575,625
601,547,553,575,624
600,546,552,583,623
600,546,552,574,623
600,545,551,574,622
599,545,551,573,622
599,544,551,573,622
599,543,550,573,621
598,543,559,572,622
598,542,550,572,621
598,542,549,571,621
597,542,549,571,620
596,542,548,570,619
596,542,548,570,620
596,541,548,569,619
596,539,547,568,617
596,540,548,569,618
593,538,544,568,617
594,539,546,568,617
594,539,546,568,618
594,538,546,568,617
594,538,545,567,617
593,537,545,566,616
592,536,551,565,623
591,535,542,564,614
599,535,542,564,614
591,535,542,565,623
591,536,543,565,623
590,535,542,564,614
599,535,542,564,614
591,535,541,564,614
590,534,541,563,613
589,543,541,563,613
589,535,540,563,612
589,534,540,562,611
588,533,539,562,612
587,533,538,561,612
587,533,538,561,610
587,532,539,561,611
587,532,538,560,610
587,532,537,560,610
585,529,543,559,609
586,531,538,559,609
584,530,536,559,608
585,530,537,559,608
585,530,537,559,608
584,530,536,558,609
583,530,536,557,608
584,530,536,557,608
584,529,536,557,608
583,528,543,556,607
584,529,536,557,608
584,530,536,557,607
584,529,535,557,608
582,528,535,556,607
591,528,543,556,607
582,528,535,556,615
582,527,534,555,606
581,525,531,553,604
582,527,533,555,605
580,525,531,555,604
581,526,532,554,604
581,526,532,554,605
580,526,531,553,604
580,525,531,553,604
580,525,531,553,603
578,523,530,552,603
577,523,529,559,601
577,523,528,551,602
577,522,528,551,602
577,523,529,551,602
578,523,528,551,602
577,523,529,551,601
577,522,529,550,601
577,522,528,550,601
577,522,528,550,600
576,522,528,549,600
576,521,527,549,600
576,521,535,549,600
576,521,526,549,599
575,521,526,549,598
575,521,526,548,599
583,521,526,548,598
575,520,525,548,598
573,516,522,547,597
574,518,525,546,597
573,519,525,546,597
574,527,525,547,598
573,527,525,546,597
573,519,525,547,596
573,519,525,546,597
573,519,524,546,597
573,518,524,546,596
573,518,524,545,596
572,518,524,545,596
572,517,523,545,596
572,517,523,544,595
572,517,522,544,595
572,517,523,544,596
571,517,522,544,596
571,517,522,544,595
571,517,521,542,593
569,515,520,551,593
570,516,521,551,594
570,516,521,543,593
570,516,521,543,593
569,515,520,542,593
569,516,520,543,593
569,515,520,542,593
568,514,520,542,592
567,514,518,541,592
567,514,519,541,592
567,514,518,541,591
568,515,527,542,593
568,514,518,541,592
568,514,527,542,599
568,515,519,542,592
568,515,519,542,592
568,515,527,542,591
568,514,519,541,592
568,513,518,541,592
567,513,517,540,592
567,513,517,540,599
566,513,517,540,590
566,513,517,540,590
566,513,517,540,589
566,512,517,539,589
564,511,516,536,586
563,510,515,537,587
