S1,S2,S3,S4,S5
269,149,161,132,194
267,147,159,134,194
266,150,160,137,194
264,148,160,136,193
261,147,158,135,190
259,145,157,134,189
257,144,156,133,187
253,142,154,132,186
252,142,153,132,184
248,137,149,127,180
247,136,148,126,181
246,139,151,130,180
245,138,150,129,179
243,137,149,128,178
242,136,148,127,176
240,135,147,127,175
239,134,146,126,174
237,134,146,126,173
234,129,139,121,169
235,132,144,125,171
234,131,144,124,170
419,229,264,232,300
421,230,263,232,295
429,237,271,238,310
433,241,275,242,314
437,245,278,244,317
439,247,279,246,318
441,249,281,247,320
442,249,282,246,320
436,243,275,239,311
443,250,278,245,319
443,250,281,245,321
443,251,283,247,322
445,253,284,247,322
446,254,283,248,322
446,254,284,247,323
446,254,284,247,323
446,254,284,255,323
446,254,284,247,323
446,254,283,246,323
446,254,283,246,322
446,254,283,246,322
446,254,283,246,322
446,254,283,245,321
445,253,282,245,322
445,253,282,244,321
444,252,281,244,321
443,253,281,243,320
441,251,279,238,316
442,250,278,240,318
441,251,280,242,319
445,253,281,243,321
445,253,282,244,321
446,254,282,244,322
446,254,282,244,323
444,252,281,242,321
445,253,282,243,322
442,250,278,241,319
443,251,279,241,327
443,252,279,242,320
444,251,280,242,320
443,252,280,242,320
443,252,280,240,318
442,251,287,241,318
442,251,278,240,317
441,251,278,240,317
440,249,276,238,315
441,251,278,240,317
441,250,278,240,317
440,250,277,240,316
440,250,277,239,316
440,250,277,239,316
439,250,276,239,315
439,249,276,238,315
437,247,274,236,313
438,247,274,236,314
439,249,276,238,315
440,250,277,239,316
440,250,277,239,316
439,250,277,239,316
439,250,277,238,316
438,248,276,238,316
439,249,276,238,316
438,247,274,235,314
438,247,274,237,315
437,248,275,237,314
436,249,275,237,314
437,248,275,236,313
437,248,274,236,312
436,247,274,235,312
435,247,273,235,312
435,247,273,234,311
433,244,270,232,309
434,246,272,234,311
433,246,272,234,310
433,246,272,234,310
433,245,279,233,310
432,245,271,233,309
432,245,270,233,309
432,244,270,233,309
427,240,266,228,305
431,243,269,232,308
429,242,268,231,308
429,243,268,231,308
430,242,268,231,308
430,243,269,231,308
430,242,269,231,308
430,243,269,231,308
431,243,269,232,308
430,241,268,229,307
430,243,269,232,308
430,243,269,232,308
430,243,269,232,308
430,243,269,232,307
430,243,269,231,307
429,243,269,231,306
429,242,268,230,306
428,242,268,229,304
428,242,267,230,305
427,241,265,228,303
428,242,267,230,305
427,241,267,230,304
427,241,267,230,304
426,241,267,229,304
426,241,266,229,304
426,241,266,229,311
425,238,264,227,302
425,239,264,227,302
425,240,265,229,304
425,240,265,229,303
425,239,266,229,304
426,241,266,229,304
425,240,266,229,303
425,240,266,228,303
425,240,265,228,302
424,240,265,228,302
424,239,265,228,302
424,239,265,228,302
424,239,265,228,302
424,239,265,228,302
424,239,265,228,302
423,239,264,228,302
423,239,264,228,301
420,236,262,223,297
421,236,262,225,299
420,238,263,225,299
422,238,263,226,300
421,238,263,226,299
421,238,263,226,299
421,237,262,226,298
420,237,262,226,298
420,237,262,226,299
419,235,260,223,297
419,235,260,223,297
420,237,262,226,299
421,237,262,226,300
421,237,263,226,300
421,237,263,227,300
421,238,263,226,300
421,237,263,226,300
421,237,263,226,300
421,237,262,226,300
421,237,262,225,299
420,237,262,226,300
420,237,262,225,299
420,236,262,225,299
417,236,261,225,298
419,236,261,225,297
419,236,261,225,298
416,233,259,222,296
417,233,258,222,295
417,234,259,223,296
417,235,260,224,296
417,234,259,224,296
417,234,259,224,296
416,234,259,231,295
416,234,259,223,296
417,234,259,223,296
416,233,259,223,296
416,234,259,223,296
416,234,259,223,296
416,234,259,223,296
416,234,259,223,303
416,234,258,223,295
416,234,259,223,295
415,233,258,222,294
415,233,258,220,293
414,231,256,220,293
415,233,258,222,294
423,233,258,223,295
415,233,258,222,294
415,233,258,222,294
415,233,258,222,294
414,233,258,222,294
413,232,257,222,294
413,231,256,221,292
414,232,257,222,293
412,231,256,221,293
413,232,257,222,293
413,232,257,222,293
413,232,257,221,293
412,232,256,221,292
412,231,256,220,292
412,231,256,220,292
413,231,256,221,292
412,231,256,222,292
413,231,256,221,292
413,232,257,222,293
413,232,257,222,294
413,232,257,222,294
413,232,257,222,294
413,232,257,222,294
412,230,255,220,292
412,230,255,220,292
411,229,254,219,291
411,229,254,219,291
412,239,256,221,292
412,231,256,221,292
411,231,256,221,292
411,231,255,221,292
410,231,263,221,291
410,230,254,219,290
410,230,255,219,290
409,230,254,219,289
409,230,254,219,289
409,229,254,219,289
409,229,254,219,289
409,230,254,220,289
409,230,254,220,289
408,229,254,220,290
408,227,252,217,288
409,229,252,219,289
409,229,254,219,289
409,229,254,219,290
409,229,254,219,290
410,229,254,220,290
410,229,254,220,290
410,230,255,220,291
407,227,252,218,289
410,230,255,220,291
