S1,S2,S3,S4,S5
145,120,137,168,125
147,124,140,171,129
147,124,140,171,129
147,124,140,171,129
147,124,140,171,129
147,124,140,171,129
147,124,140,171,129
147,124,140,171,128
147,124,140,171,129
135,120,137,160,125
147,124,140,170,129
143,120,137,159,125
147,123,139,170,127
147,124,140,171,129
147,124,140,171,129
147,124,140,170,129
147,124,140,170,128
147,124,139,169,128
147,124,140,170,129
146,123,139,170,128
147,124,140,170,128
517,523,571,599,478
530,539,590,616,495
543,554,608,633,512
551,563,619,643,523
561,573,629,653,534
574,584,641,666,547
587,598,655,679,562
600,611,669,693,577
609,622,680,703,589
617,630,689,712,599
621,635,695,717,606
624,638,699,721,610
628,642,711,724,623
629,643,704,726,617
630,643,705,726,619
629,643,705,726,619
628,642,704,726,619
627,641,703,725,619
626,639,700,722,616
623,636,699,721,616
624,636,698,720,616
622,634,697,720,615
621,633,695,727,614
620,631,694,718,614
619,630,693,717,613
618,629,691,715,612
617,628,690,714,611
614,625,687,712,609
614,625,687,712,609
613,623,685,710,607
612,622,684,709,607
610,620,682,708,605
609,619,681,707,603
608,618,679,706,602
607,617,678,705,602
606,616,677,704,602
604,614,674,702,600
604,614,675,702,600
603,613,673,701,607
602,612,672,700,598
602,611,671,700,598
602,610,679,699,597
601,610,670,698,596
600,609,669,698,596
597,606,666,695,594
597,606,666,695,593
597,606,665,694,593
597,606,665,694,593
597,605,665,694,592
596,605,664,693,592
595,604,663,693,591
595,603,662,692,590
594,602,661,691,590
591,600,658,689,588
593,601,659,690,588
592,600,659,689,588
599,599,658,688,586
590,598,656,687,586
589,597,656,686,585
589,597,663,686,584
589,596,654,685,584
588,596,653,685,583
586,594,652,683,582
587,595,652,684,582
586,594,651,683,582
586,594,651,683,581
586,593,650,682,581
585,593,650,682,580
584,592,649,681,580
584,592,649,681,579
582,590,647,687,578
582,589,646,678,577
581,589,646,678,577
582,589,646,678,577
581,589,645,678,576
581,588,644,677,576
580,587,644,676,575
579,587,643,676,574
579,586,642,675,574
578,586,642,675,573
578,585,641,674,573
577,584,640,673,572
576,584,639,673,571
575,591,638,672,570
575,582,638,671,570
574,582,637,679,569
574,581,636,670,568
573,580,634,669,567
573,580,635,669,568
572,578,634,668,567
573,579,634,668,567
572,579,633,667,566
572,579,633,668,566
571,579,633,668,566
571,578,633,667,566
571,578,632,667,565
570,577,632,666,565
570,577,631,666,564
569,576,630,665,564
569,575,630,665,563
568,583,629,664,562
568,574,628,664,562
567,574,628,663,562
575,574,627,663,561
566,573,627,661,560
565,572,626,662,560
565,572,625,659,558
564,571,625,660,559
564,571,624,660,558
564,570,624,659,558
563,569,623,659,557
563,570,631,659,557
563,569,622,658,557
561,568,621,657,555
561,568,621,656,555
561,568,620,656,555
562,568,621,657,555
561,568,620,657,555
561,567,620,656,554
560,567,620,655,554
560,566,619,655,553
560,566,618,655,553
559,565,618,654,552
558,565,618,654,552
558,564,617,653,551
558,564,616,653,551
557,564,616,653,559
557,563,616,652,550
557,563,615,652,550
557,563,615,651,549
554,560,613,648,546
554,561,613,649,548
554,560,612,649,547
554,560,612,649,547
553,567,611,649,547
553,559,611,648,546
553,559,610,648,546
553,559,610,648,545
552,559,610,647,545
551,558,610,647,545
551,558,609,647,545
552,557,609,646,544
551,557,608,646,544
559,557,608,646,544
550,556,608,645,543
550,556,607,645,543
550,556,607,645,542
549,555,606,643,540
549,555,606,643,541
548,554,606,642,541
548,554,605,643,541
548,554,605,643,540
548,553,605,642,540
547,553,604,642,540
547,552,604,641,539
547,552,603,641,539
545,551,602,640,538
545,551,601,639,537
545,559,602,640,538
545,551,601,639,537
544,550,601,647,537
544,550,601,639,536
544,549,600,638,536
544,549,600,638,536
544,549,600,638,535
542,548,598,636,534
543,549,599,637,535
543,548,607,637,535
542,548,598,637,535
542,548,598,637,534
542,548,598,637,534
542,548,598,636,534
541,547,597,636,533
540,545,596,634,531
541,547,597,635,533
540,547,597,634,532
541,546,596,635,532
541,546,596,635,532
540,546,596,634,532
540,546,596,634,532
539,545,595,634,531
539,545,595,634,531
538,544,593,632,530
537,551,593,631,530
537,543,593,632,529
536,542,592,639,528
536,542,592,630,528
536,541,591,630,527
536,541,599,630,527
535,541,591,630,527
535,541,590,629,527
534,540,589,628,526
535,540,590,629,525
535,540,590,629,526
534,540,589,629,526
534,540,589,628,526
534,540,589,628,526
534,540,589,628,525
533,539,588,627,525
532,538,587,626,524
532,538,587,626,523
532,538,587,626,523
533,538,587,627,524
532,538,587,626,523
532,537,587,626,523
532,537,586,626,522
531,537,586,625,523
531,537,586,625,522
530,536,584,624,521
530,536,585,624,522
530,536,585,622,521
530,535,584,624,521
529,543,584,623,520
529,535,584,631,520
529,534,583,631,520
528,534,583,631,520
529,534,583,622,519
528,533,582,621,519
529,534,583,621,517
