S1,S2,S3,S4,S5
331,289,284,296,349
328,286,280,293,343
324,283,276,289,340
322,280,274,286,337
319,279,270,284,334
316,276,268,281,331
314,274,266,279,329
311,272,265,277,335
309,271,262,275,325
306,267,259,272,321
306,268,259,272,321
304,266,257,270,327
302,264,256,268,317
300,263,254,266,315
299,262,253,265,314
298,260,252,264,312
296,259,250,261,310
294,258,248,259,308
292,255,246,258,307
292,256,247,257,306
291,255,246,258,306
281,247,237,250,296
278,244,235,247,294
279,244,234,247,294
286,251,240,256,301
292,257,246,262,307
299,265,253,270,315
306,271,258,278,322
321,285,272,293,338
339,302,290,314,360
365,325,315,342,389
397,352,345,375,422
428,381,377,408,456
461,409,408,441,493
493,439,441,474,525
519,465,471,501,551
539,486,492,522,570
555,502,511,539,586
567,514,525,550,597
577,524,536,561,606
578,527,538,562,607
585,532,541,567,612
592,540,559,574,619
595,543,555,578,623
597,545,557,579,625
607,546,557,581,625
600,547,567,582,626
600,549,559,582,627
600,549,559,582,626
601,548,559,580,626
600,549,567,578,625
599,548,558,579,625
598,547,557,578,624
596,543,554,574,622
596,543,554,575,621
596,544,554,574,620
595,543,553,573,620
594,542,552,572,619
593,541,559,572,618
593,539,549,571,617
593,540,550,571,617
593,539,549,571,615
592,538,548,570,614
589,536,545,570,616
592,539,548,570,623
591,539,548,569,615
591,538,547,570,616
592,540,548,570,615
591,538,548,569,615
592,538,548,569,615
591,538,547,568,614
589,536,545,566,612
589,537,545,566,613
587,543,542,564,610
586,534,542,563,609
584,532,539,561,608
584,532,539,561,609
584,533,539,561,609
584,532,539,561,608
582,529,536,557,604
582,531,538,559,606
581,530,537,559,606
591,531,537,560,606
582,529,536,557,605
582,530,536,558,605
580,528,534,556,603
580,527,534,556,604
579,527,534,556,602
578,527,533,555,602
578,526,533,554,601
578,526,533,554,603
577,525,532,553,601
578,526,532,554,601
577,524,532,554,600
577,524,531,553,600
576,523,531,551,607
576,523,530,559,599
574,522,529,549,598
575,522,529,550,598
575,522,528,550,597
574,521,528,549,597
572,520,527,547,594
573,520,526,548,595
573,521,527,549,596
574,521,535,549,597
574,521,527,550,598
574,522,528,549,598
573,521,527,549,597
573,521,535,549,597
573,520,526,548,597
571,519,525,546,596
571,517,524,545,593
571,518,525,547,596
570,519,525,545,594
569,516,522,551,592
569,516,522,544,592
569,516,522,544,593
570,517,523,545,593
569,517,523,544,593
569,517,522,544,592
568,517,522,544,592
568,516,522,544,592
568,516,521,543,592
567,514,520,542,589
566,514,520,543,589
567,515,521,543,590
568,515,521,543,590
568,515,522,544,590
569,515,522,544,591
569,516,522,544,591
568,516,522,544,591
568,516,522,543,599
566,514,520,542,589
575,514,520,542,590
567,514,520,543,591
567,514,520,542,590
575,514,520,542,590
566,513,520,542,590
566,513,519,541,589
565,512,519,540,589
563,519,517,539,587
563,510,516,538,586
563,511,516,538,587
563,510,516,538,587
563,510,516,538,586
564,519,516,539,587
564,511,516,539,588
563,510,516,539,587
563,510,516,537,586
562,509,515,537,584
562,509,516,536,584
562,509,515,537,585
562,509,515,537,585
562,509,515,537,585
561,509,515,537,585
560,509,515,536,584
561,508,514,536,584
560,507,513,535,582
567,507,513,534,582
559,506,512,533,581
559,505,512,533,582
558,505,511,533,582
558,505,511,533,581
558,505,511,533,580
558,505,511,534,581
558,505,512,533,580
557,504,510,532,579
557,505,511,533,581
557,504,511,532,580
556,504,509,530,579
556,504,510,531,580
556,504,510,531,580
556,504,509,530,580
556,503,509,530,580
555,504,509,530,579
554,502,507,529,578
555,511,508,530,579
555,503,508,530,579
555,503,508,530,579
555,502,508,530,579
555,503,507,530,579
555,503,508,531,579
556,503,508,531,579
553,501,506,530,578
554,502,507,530,578
554,502,507,529,577
555,503,508,530,578
554,503,507,530,578
554,503,507,529,576
554,501,507,529,577
554,501,507,529,577
553,501,506,528,577
552,499,505,527,583
552,499,506,528,575
553,500,506,528,575
552,499,505,527,583
551,499,505,527,574
551,499,504,526,574
550,498,504,526,573
550,498,503,526,574
550,498,502,524,572
549,497,503,524,572
550,498,504,524,573
551,498,504,525,573
551,499,504,526,574
551,499,504,526,575
551,499,503,526,575
551,499,503,526,574
551,499,504,526,583
550,498,511,525,573
550,498,511,525,573
551,498,503,525,575
551,499,503,525,574
551,499,511,526,575
551,499,503,526,575
551,499,503,526,575
550,499,502,526,574
550,498,503,525,573
549,498,502,525,573
548,497,502,524,572
548,496,501,523,571
548,496,501,524,571
548,496,501,523,571
548,496,501,522,571
548,496,501,523,572
547,495,501,521,572
546,492,497,520,569
546,494,499,522,571
546,494,500,522,571
547,494,500,522,571
547,494,500,522,571
547,495,499,521,570
546,494,499,522,570
546,494,499,521,570
545,494,499,521,569
544,493,497,520,568
543,492,496,520,569
545,494,498,520,569
545,494,498,520,569
545,494,497,520,569
