S1,S2,S3,S4,S5
179,221,238,211,210
181,223,240,213,212
181,231,240,213,212
181,222,240,213,212
181,223,247,213,212
178,221,238,210,210
181,223,239,213,212
181,223,239,212,212
181,223,239,212,211
180,222,238,210,210
181,222,238,211,211
180,222,238,212,212
181,223,239,212,212
180,222,238,208,207
178,220,237,210,209
179,222,238,211,210
180,222,238,212,212
180,222,238,212,212
180,222,238,212,212
180,222,238,212,211
180,222,238,212,211
347,379,410,397,359
345,377,410,396,358
347,380,411,398,359
346,379,410,398,359
356,386,418,408,365
367,396,430,421,373
378,405,440,431,382
386,412,449,439,389
391,418,454,446,395
395,422,457,449,396
395,423,457,449,396
395,423,459,450,397
394,423,457,450,394
393,422,457,449,394
390,420,454,455,392
387,418,452,445,390
385,416,450,444,388
383,414,448,442,386
380,411,444,438,384
378,410,442,436,381
376,408,440,435,381
375,408,439,433,379
373,406,438,432,377
372,404,436,430,376
370,403,434,429,374
369,401,433,428,373
367,400,432,426,372
365,398,429,425,371
364,398,429,423,370
363,396,426,421,368
362,396,427,421,369
361,395,426,420,368
360,395,425,420,375
359,394,424,419,366
367,394,423,418,365
358,393,424,418,365
358,393,422,417,364
357,392,421,415,364
356,390,420,423,363
355,390,419,414,363
355,389,419,413,362
354,389,418,412,362
354,389,418,413,361
353,389,418,412,361
352,387,417,411,360
353,387,417,411,361
352,387,417,411,360
351,387,416,410,360
350,385,414,409,359
350,386,415,409,358
349,385,413,408,358
348,384,412,407,358
347,384,412,406,357
346,382,411,405,355
347,383,411,405,355
346,383,411,405,356
345,383,410,404,355
345,382,410,404,355
344,381,409,403,354
344,381,409,403,354
343,380,408,401,353
342,379,404,397,349
341,378,406,399,351
341,378,406,407,352
342,379,406,400,352
341,378,405,407,352
341,378,405,399,352
341,378,405,398,351
341,377,405,398,351
340,378,405,398,359
339,377,403,398,351
339,377,404,397,351
339,377,404,397,350
339,376,404,396,350
337,375,402,396,350
337,375,402,395,349
338,383,402,395,349
337,374,402,394,349
337,374,402,393,347
337,374,402,394,348
336,374,400,392,348
336,374,400,393,347
336,373,400,393,347
336,373,399,392,347
335,373,399,392,347
335,372,407,399,347
334,372,398,390,346
333,371,397,390,345
333,371,398,390,344
333,372,398,390,346
334,372,398,390,346
331,371,397,390,345
333,371,397,389,345
333,370,397,389,345
332,370,396,388,345
332,370,396,388,344
330,369,394,386,343
331,369,395,388,344
330,369,395,386,351
330,369,395,386,343
330,369,394,386,343
330,368,394,385,343
330,368,394,386,343
330,368,394,386,343
328,366,393,384,341
329,367,394,391,341
329,367,392,384,342
329,367,393,384,342
329,367,393,384,342
329,367,393,384,342
328,366,392,383,341
335,367,392,383,341
327,366,391,383,341
326,365,390,382,340
327,365,391,382,340
327,366,391,384,342
333,370,396,389,345
344,377,406,399,354
358,387,417,412,362
367,396,426,422,370
374,402,434,428,376
378,407,438,433,380
380,409,447,434,380
382,411,441,436,383
382,411,442,437,383
382,411,442,436,391
381,411,441,436,382
379,410,440,435,380
377,409,438,434,380
376,407,437,432,378
372,405,434,428,374
372,403,433,428,374
370,402,431,426,373
369,401,431,425,372
368,407,428,423,370
366,399,427,422,369
364,397,426,420,368
363,396,424,419,367
361,395,431,417,365
358,392,420,423,364
357,391,420,414,363
357,391,419,414,363
357,391,418,413,362
356,390,417,412,362
355,389,417,411,361
353,389,416,410,360
353,388,415,409,360
352,387,414,408,358
351,386,413,407,358
351,386,412,406,358
350,385,411,405,357
349,384,411,405,356
348,383,410,404,355
347,382,409,402,354
346,382,408,402,354
346,381,407,401,354
344,380,403,397,350
343,378,405,399,352
341,378,405,398,352
342,378,404,398,351
342,379,404,398,351
342,378,404,397,351
341,378,404,397,351
341,378,403,396,351
340,377,403,396,350
338,375,402,394,349
338,375,401,394,348
338,375,400,394,349
338,375,401,393,348
337,375,400,392,348
336,373,399,391,346
336,374,407,391,347
335,373,399,391,346
335,372,398,390,346
335,372,398,390,345
334,371,397,389,345
334,371,396,389,345
333,371,396,388,344
333,370,396,388,344
333,370,395,387,344
332,370,395,387,344
332,369,395,386,344
329,366,392,384,342
330,367,393,384,342
329,367,393,384,342
329,368,392,384,342
329,368,392,384,342
329,367,392,391,341
328,366,399,383,341
328,366,391,382,341
327,366,399,382,340
326,365,389,381,339
326,365,389,380,339
326,365,389,381,340
327,365,390,381,340
327,365,390,381,340
326,365,389,381,340
321,364,389,380,337
325,365,389,380,339
326,364,389,380,339
324,363,388,378,338
325,364,389,379,339
325,364,389,379,339
325,364,389,379,339
325,364,388,378,338
324,363,388,378,338
323,362,387,377,338
323,363,387,377,338
322,360,385,374,334
322,361,386,376,336
322,361,386,375,336
322,362,386,376,337
322,362,386,376,337
322,362,386,375,336
321,361,386,375,336
322,361,385,383,336
321,361,385,375,336
320,360,383,374,335
319,360,383,374,336
