S1,S2,S3,S4,S5
175,101,120,104,130
174,101,120,103,128
174,101,111,104,130
170,96,116,102,127
172,98,118,102,127
171,98,120,102,128
174,99,120,102,130
173,100,120,104,129
171,98,118,103,127
171,97,118,104,130
173,100,118,102,126
167,94,114,100,125
171,100,119,96,129
175,102,122,106,132
178,107,126,110,135
178,107,126,110,135
178,107,126,110,135
178,106,124,109,134
178,106,125,110,135
176,105,125,108,134
177,106,125,110,135
429,226,281,232,326
445,237,292,240,341
459,250,305,250,354
472,259,313,256,364
479,267,320,262,372
486,273,325,262,375
490,275,327,266,382
493,279,330,268,385
492,279,329,267,385
498,283,334,271,390
500,286,343,272,392
502,288,337,273,394
503,288,338,274,396
505,291,338,274,397
507,292,340,275,398
509,294,341,275,400
510,295,342,276,399
509,294,341,276,400
510,295,341,275,401
509,294,340,273,400
510,296,341,275,401
509,295,340,273,400
510,295,340,273,407
510,296,340,273,399
510,296,340,273,399
509,295,339,272,398
509,295,339,271,398
508,295,338,270,396
507,293,336,268,395
508,294,337,269,396
508,294,338,270,396
508,294,337,270,396
508,295,338,270,396
508,295,337,270,396
508,295,337,270,396
508,295,337,269,396
507,294,336,268,395
507,293,335,269,395
505,293,335,267,394
507,293,343,268,395
508,295,337,269,395
506,294,335,268,394
507,293,335,266,392
505,292,333,267,392
506,293,334,267,392
505,293,334,266,392
505,293,334,266,392
505,293,333,266,399
504,293,333,265,391
504,292,333,265,390
504,292,333,265,390
504,292,332,264,390
503,292,332,264,390
501,290,330,261,388
502,290,330,262,388
501,290,330,262,388
502,291,331,263,388
502,291,330,262,387
502,290,330,263,388
502,291,330,262,388
500,290,329,262,387
501,290,330,262,387
500,287,328,258,383
499,288,327,261,385
501,290,330,261,386
498,288,327,259,384
498,288,327,259,384
497,288,326,258,382
497,287,326,258,381
496,286,325,258,382
496,286,325,258,382
495,285,324,256,381
496,287,326,258,382
497,287,326,258,382
496,287,326,258,382
496,287,325,256,381
495,286,325,257,381
495,286,324,257,380
494,285,323,256,378
491,281,320,253,378
493,283,322,254,378
489,281,327,254,376
492,283,321,253,374
492,283,321,254,377
491,282,321,253,376
490,283,321,254,377
492,284,322,255,377
492,284,322,254,377
491,282,321,254,376
490,283,321,255,376
490,282,321,255,376
491,283,321,254,376
489,282,320,253,374
488,281,319,252,374
488,281,318,252,373
488,281,318,252,373
488,281,319,252,373
487,279,317,250,372
488,281,319,253,373
488,281,319,252,373
488,281,319,252,373
487,280,318,252,373
495,280,318,252,373
487,280,318,252,373
495,280,318,252,373
485,278,316,250,371
486,278,316,250,371
485,278,316,251,372
486,280,317,251,371
485,280,317,251,371
485,287,317,251,371
485,279,316,250,370
485,279,316,250,370
484,279,316,250,370
483,278,316,249,370
484,278,316,250,369
483,278,315,249,369
482,277,314,248,368
482,277,314,248,367
480,275,312,246,365
479,274,311,245,364
480,276,313,247,365
479,274,311,245,364
479,274,311,245,364
480,275,312,247,365
480,275,312,247,365
480,275,312,247,365
479,275,312,247,365
479,275,312,247,364
479,275,312,246,364
478,275,312,247,364
477,273,310,244,360
477,271,308,243,361
476,272,310,245,362
478,274,310,246,362
477,273,310,245,362
477,273,310,245,362
477,273,310,245,362
476,273,310,245,361
475,273,309,245,361
475,271,307,242,359
475,271,307,243,360
475,271,308,244,360
474,272,308,244,360
471,270,306,242,357
471,269,305,240,356
470,268,304,240,355
469,268,304,239,355
469,267,303,239,355
469,265,302,238,354
471,268,304,241,356
471,269,305,242,357
472,269,306,242,357
472,269,306,242,357
472,269,306,242,357
471,269,306,242,357
471,268,304,241,356
470,268,305,239,354
472,269,305,242,357
471,268,305,241,356
471,269,306,242,357
471,269,305,242,357
471,269,305,242,357
471,269,305,242,357
471,269,305,242,357
471,269,305,242,356
471,269,305,242,356
471,269,305,242,357
471,269,305,242,356
470,269,305,241,356
470,268,304,241,356
469,268,304,241,355
469,268,304,240,355
469,267,304,241,354
469,267,302,240,353
468,267,303,241,354
467,266,302,239,353
467,267,303,240,353
467,266,302,240,353
467,266,302,239,352
466,266,302,239,352
467,266,302,239,352
466,266,302,239,352
466,264,300,237,350
465,264,300,239,352
465,265,302,239,352
467,266,301,239,352
466,266,302,239,351
466,266,301,239,351
466,265,301,239,351
465,265,301,238,351
464,265,301,238,351
465,265,300,238,350
465,265,300,238,350
462,263,298,237,350
463,264,299,237,349
463,263,299,237,349
463,263,299,237,349
463,263,299,237,349
471,263,299,237,349
459,261,297,235,347
461,261,297,235,347
461,262,297,236,348
462,263,298,237,348
462,262,298,236,348
461,262,298,236,348
461,262,298,236,348
461,262,298,236,348
462,262,298,236,348
462,262,298,237,348
462,263,298,236,348
462,262,298,236,347
461,262,297,236,347
461,262,297,235,346
460,262,297,235,347
460,261,297,235,346
460,261,296,235,346
460,261,295,233,344
459,261,296,235,346
