S1,S2,S3,S4,S5
416,358,329,423,459
411,354,326,417,451
405,348,320,411,444
401,345,316,407,439
397,341,313,403,433
393,335,308,407,428
390,335,306,395,424
388,331,303,392,418
385,328,301,390,415
381,326,297,386,411
380,325,297,383,409
377,322,294,381,406
375,320,292,379,402
373,319,290,377,399
371,318,289,383,396
369,315,288,374,393
367,315,286,371,391
365,312,283,368,387
362,310,282,367,386
362,319,282,365,391
360,310,281,365,382
596,525,519,595,615
615,542,538,608,630
631,557,555,621,645
640,568,568,629,656
649,577,577,635,664
653,582,584,639,668
656,587,588,641,669
657,588,590,640,671
658,589,590,640,671
658,589,590,640,670
655,587,589,637,669
654,587,587,636,668
654,586,586,635,667
652,584,585,632,664
651,583,591,631,663
649,580,580,628,662
648,579,579,627,660
647,577,577,625,659
644,575,583,623,657
641,572,571,620,654
641,572,571,619,653
639,570,569,617,652
637,570,566,616,650
636,568,565,614,648
634,565,562,612,647
633,564,562,611,645
632,563,561,610,644
629,558,556,607,642
628,559,557,606,641
628,559,556,605,640
627,558,555,605,639
626,557,553,603,637
624,556,551,602,637
623,555,550,601,635
621,554,549,599,634
621,553,548,598,632
619,559,546,596,631
618,550,545,596,631
618,550,546,595,630
617,549,544,594,630
616,548,551,593,628
615,547,542,592,627
613,546,541,591,626
613,545,539,590,625
611,544,538,589,625
611,544,537,588,623
610,543,537,587,622
609,542,536,587,623
608,541,535,586,621
608,541,543,585,620
607,539,534,584,620
606,538,533,583,619
605,538,532,582,618
603,536,530,580,616
602,536,530,579,615
602,535,529,579,616
602,534,530,579,616
601,534,529,577,615
600,533,527,577,614
599,532,527,576,613
598,531,526,575,612
597,531,525,574,611
595,529,523,572,609
595,529,523,573,610
595,529,523,572,610
595,528,523,572,610
594,527,522,572,609
594,527,522,570,608
593,527,521,570,608
593,526,521,570,607
592,526,519,569,605
592,525,519,569,606
590,523,517,568,604
590,524,518,568,605
590,523,518,567,604
589,523,517,566,604
588,522,517,566,603
587,522,517,565,603
587,521,516,565,603
585,521,515,564,602
585,521,514,563,601
584,520,514,563,600
584,519,519,561,607
582,518,512,561,598
581,518,512,560,597
581,517,511,560,597
579,516,510,560,597
579,516,511,558,595
579,515,510,559,596
578,515,508,558,594
576,515,509,558,595
575,515,509,558,595
575,515,509,558,595
575,514,509,557,594
574,514,508,557,594
575,513,508,556,593
573,512,506,554,591
572,511,505,554,590
572,510,505,553,599
573,511,505,553,599
572,510,505,552,590
572,509,504,551,590
571,508,503,559,590
571,509,511,559,589
571,509,503,550,589
570,508,502,549,587
570,508,502,549,587
570,508,501,549,587
570,508,501,549,587
570,507,501,549,587
570,507,501,548,587
570,507,501,548,585
570,506,500,547,585
568,504,498,543,582
568,504,499,545,585
575,504,499,545,585
568,504,499,545,585
567,504,499,545,585
567,504,499,545,584
575,504,499,545,584
566,503,499,544,583
566,502,498,543,583
564,501,497,543,582
564,501,497,542,582
564,501,496,541,581
564,500,496,541,581
563,500,495,541,580
562,499,494,540,580
562,499,494,540,579
562,499,494,540,579
562,499,493,538,578
560,497,492,538,578
561,498,493,538,578
561,498,493,538,579
560,497,492,538,578
559,497,492,537,578
559,497,492,537,578
559,496,493,537,577
558,496,492,536,577
556,495,491,535,576
557,495,491,536,577
556,495,490,536,576
556,495,490,536,575
556,495,490,534,574
556,494,490,535,574
556,493,490,534,575
555,494,490,534,574
555,494,490,534,574
553,492,489,533,573
554,493,489,533,574
554,494,489,533,574
554,494,489,533,574
554,493,489,533,574
553,493,489,532,573
553,493,489,532,573
553,492,488,532,572
550,490,486,529,570
550,491,486,529,570
549,489,485,529,571
559,492,487,530,571
550,491,487,529,571
549,491,486,529,571
549,491,486,529,571
549,490,485,529,571
549,490,485,529,570
547,489,484,528,569
547,489,484,527,570
547,489,485,528,569
548,489,485,528,570
548,489,485,528,570
547,489,486,535,570
547,488,485,535,570
547,489,485,527,569
547,488,485,527,569
547,488,484,526,569
546,488,484,526,569
546,487,483,525,568
545,487,483,525,568
545,495,483,525,568
545,487,483,525,568
545,486,483,523,575
545,486,483,524,567
541,482,480,522,565
544,485,482,524,566
543,484,481,522,566
546,485,481,523,566
546,485,481,522,565
546,485,482,523,566
545,485,482,522,566
545,485,481,522,566
545,485,481,522,565
544,485,481,522,565
544,485,480,522,565
544,484,481,522,565
544,484,481,521,565
544,484,480,521,565
542,484,480,521,565
541,484,481,520,565
541,484,480,520,564
540,483,479,518,561
541,484,481,520,564
541,483,479,519,562
542,483,480,520,564
542,483,480,519,564
542,483,480,520,564
541,482,487,519,563
540,483,479,519,563
540,482,479,519,563
538,481,478,518,562
537,482,479,518,563
531,482,479,518,562
532,482,479,518,562
534,482,479,518,562
533,481,478,518,562
533,481,478,517,562
533,481,478,517,562
534,481,478,517,562
533,480,477,516,561
534,481,477,516,562
