S1,S2,S3,S4,S5
269,242,276,329,249
266,240,271,323,246
261,234,265,316,239
256,229,259,311,235
251,215,253,305,230
250,222,249,301,227
246,218,246,297,224
243,215,242,293,221
240,211,238,288,217
235,206,233,283,212
235,206,232,282,212
232,203,228,278,209
229,201,225,275,206
227,198,223,272,204
225,196,220,269,202
222,194,218,266,200
221,192,215,264,197
218,187,212,260,195
213,185,208,257,191
223,186,209,257,191
214,185,207,254,190
192,164,183,226,168
189,160,179,224,166
191,162,181,224,167
194,164,183,228,170
199,169,188,234,175
203,173,192,238,179
206,176,195,242,182
211,180,199,247,186
235,197,217,268,203
283,240,263,318,239
332,299,324,376,284
378,355,382,430,329
427,414,441,486,380
470,467,497,537,427
505,509,543,579,466
532,541,579,611,498
552,565,605,635,523
567,582,626,653,541
576,592,638,663,553
587,603,651,676,566
594,611,659,683,574
597,615,665,688,581
603,620,671,694,587
607,624,675,699,592
610,626,679,702,596
610,627,679,702,597
611,628,681,704,600
612,629,682,705,601
614,630,683,706,603
615,631,684,707,604
616,632,685,708,606
616,631,685,708,607
616,631,685,708,607
616,631,684,708,607
616,630,684,708,608
616,630,684,708,608
615,629,683,708,608
615,629,683,708,608
615,629,683,708,608
615,629,682,708,608
623,628,682,707,608
623,628,682,707,608
613,627,680,706,607
614,627,679,707,608
612,625,679,705,606
611,624,677,704,606
612,624,676,704,605
612,624,677,704,605
611,624,677,704,605
610,623,676,703,605
610,622,675,702,604
609,621,674,702,603
608,620,672,700,601
606,617,670,698,600
605,617,669,699,601
605,617,670,698,600
604,616,668,697,599
603,615,667,696,598
601,613,665,694,596
603,614,666,695,597
601,612,664,694,596
602,613,664,694,596
600,611,662,692,595
601,611,663,693,595
600,611,662,693,594
599,610,662,692,594
599,610,661,691,593
598,608,660,690,592
596,607,659,689,599
595,606,657,688,590
595,605,655,687,588
595,605,656,687,589
592,603,655,686,588
594,605,655,695,589
594,604,655,687,588
593,604,654,686,588
592,603,653,685,587
591,602,653,684,586
592,602,652,684,586
590,600,650,682,584
590,599,649,682,584
590,600,650,683,584
590,600,649,682,584
589,607,649,681,581
588,598,648,681,582
588,598,647,679,581
587,597,647,680,581
587,596,646,679,580
586,596,646,679,580
586,595,645,678,579
585,594,644,677,578
584,594,643,676,578
584,593,642,676,577
583,592,641,675,576
583,592,641,675,576
583,591,641,674,576
579,590,639,673,575
581,590,647,673,574
580,590,639,673,574
581,590,647,673,574
580,590,638,673,574
580,589,638,672,573
579,588,637,671,572
579,587,637,671,572
579,587,636,679,572
578,587,635,670,571
577,586,635,669,570
577,585,634,668,569
576,585,633,668,569
574,584,632,668,569
575,584,633,667,568
575,583,632,667,567
574,583,631,666,575
574,581,628,664,564
572,580,628,664,565
572,581,628,663,564
572,580,628,664,564
572,580,628,663,564
571,580,628,663,564
571,580,628,671,564
571,580,627,663,563
570,579,627,662,563
569,578,625,661,561
569,578,626,661,562
569,577,625,661,561
568,577,625,660,561
568,576,624,660,560
567,576,624,659,560
566,574,622,659,566
566,574,622,658,558
566,574,622,658,558
565,572,620,656,556
565,573,621,657,557
565,573,621,657,557
565,573,620,657,557
564,573,620,656,556
564,572,620,656,555
563,572,619,655,555
563,571,618,655,555
560,568,616,653,553
562,569,617,653,553
561,568,616,652,552
561,569,616,653,553
560,568,615,652,552
560,568,615,652,552
559,567,623,651,551
567,567,614,651,551
558,565,613,650,550
559,566,613,650,550
558,566,613,650,550
558,566,613,649,549
557,565,612,649,549
557,565,612,648,548
557,564,611,648,548
556,564,611,648,547
555,563,610,647,547
555,562,609,643,543
554,562,609,645,545
553,561,608,645,545
554,562,609,646,546
554,561,608,645,545
553,561,608,644,544
553,561,607,644,544
553,560,607,644,544
553,561,607,644,544
552,560,606,644,544
552,559,606,644,544
552,559,606,643,543
551,567,606,643,542
551,559,605,642,542
559,558,605,642,542
551,558,605,642,541
550,558,604,641,541
550,557,604,641,540
549,556,603,640,540
550,557,604,641,541
549,557,604,641,540
549,557,603,640,540
549,557,603,640,540
549,557,603,640,540
548,556,603,640,539
548,554,602,639,539
547,554,600,638,537
547,555,601,638,538
547,555,601,638,538
546,553,600,637,537
546,554,600,638,537
546,553,600,637,537
546,553,600,637,536
545,553,599,636,536
545,553,607,636,536
544,551,598,635,535
545,552,599,636,535
544,552,598,635,535
544,552,598,635,543
544,552,598,635,535
544,551,597,635,534
543,559,597,634,534
551,551,597,634,534
541,549,595,631,531
542,550,596,633,533
541,549,595,632,532
542,549,595,633,532
542,549,595,633,532
540,548,594,632,531
540,548,594,632,531
540,547,593,631,531
540,547,593,631,530
538,546,592,629,529
539,546,592,630,529
538,546,592,630,529
538,546,592,629,529
538,545,591,629,528
538,545,591,629,528
538,545,591,629,528
538,545,591,629,528
538,545,599,628,527
535,544,590,627,535
538,545,591,629,527
