S1,S2,S3,S4,S5
282,155,169,138,210
280,157,169,139,208
276,155,168,139,206
273,153,166,137,204
270,151,165,136,201
265,148,162,135,199
265,148,161,134,197
262,146,160,133,195
259,145,159,132,193
255,140,154,127,189
250,138,148,121,182
251,138,144,125,185
247,133,146,121,180
247,127,150,124,182
248,138,152,127,183
246,137,151,127,182
244,136,150,126,181
243,136,149,124,179
239,131,145,121,176
240,134,148,124,178
238,133,147,124,177
427,228,268,229,308
438,235,275,235,318
452,255,287,246,329
463,255,295,253,338
474,265,304,261,348
481,272,311,267,355
483,275,313,267,357
483,277,314,268,357
483,277,314,267,357
485,278,314,267,357
487,278,314,267,359
492,283,319,272,364
495,285,321,274,367
497,287,323,276,369
499,289,325,277,371
501,291,326,278,373
502,292,327,278,374
511,293,328,279,374
502,292,327,278,373
504,294,328,280,376
504,295,329,279,375
505,295,329,279,376
505,295,329,279,376
505,295,328,279,376
505,295,329,279,376
505,295,328,278,376
504,295,328,278,376
511,293,326,276,374
502,294,327,277,375
502,293,326,276,375
503,293,326,276,374
503,293,326,276,374
501,293,325,275,373
501,292,324,274,372
500,292,324,273,371
499,291,323,272,370
498,291,322,271,369
498,290,322,269,367
497,290,322,270,368
497,290,321,270,368
497,289,321,270,368
497,289,321,270,368
496,289,320,269,367
496,288,320,269,367
494,286,318,267,366
494,286,318,267,366
494,286,318,267,366
494,295,319,268,366
494,287,318,266,365
493,286,318,267,365
493,286,317,267,365
492,286,317,267,364
492,286,317,267,364
490,283,315,264,363
491,285,316,265,363
490,285,316,265,363
490,284,315,265,363
488,283,314,264,362
487,283,313,263,360
487,282,312,262,360
487,282,312,262,360
486,281,311,261,359
486,281,312,262,359
484,287,311,261,358
486,281,312,262,359
486,281,312,262,359
485,281,311,262,359
485,281,319,261,357
485,280,311,261,358
484,280,310,260,357
482,278,309,260,356
482,287,309,260,356
483,279,309,260,356
482,279,309,260,356
482,279,309,259,356
482,278,308,259,355
481,278,308,259,355
481,278,308,258,355
480,277,307,258,354
480,277,307,258,353
479,277,307,255,359
479,277,307,258,353
487,276,307,257,353
479,276,306,256,352
478,276,306,256,352
478,275,305,256,352
476,274,304,255,351
476,273,303,254,350
475,272,303,253,349
475,273,303,254,349
475,274,303,254,350
474,272,302,254,349
474,273,302,254,349
474,273,302,254,348
473,272,302,253,347
473,272,302,253,347
471,270,300,250,345
472,271,301,252,346
479,271,301,252,346
471,271,300,251,346
470,270,300,251,345
470,270,299,251,345
470,270,299,251,344
469,270,299,250,344
468,269,297,248,341
467,267,296,247,342
467,268,297,248,340
467,268,297,249,342
468,269,298,250,343
468,269,298,251,344
466,268,297,249,351
466,268,297,248,341
464,267,295,246,340
462,264,293,244,337
462,263,290,243,337
461,263,293,245,338
462,265,293,245,338
462,264,293,245,338
462,264,293,246,338
462,264,293,245,338
463,264,293,246,338
463,265,294,246,338
461,262,292,244,337
462,264,294,246,338
462,264,294,246,338
463,264,294,246,338
463,265,294,246,339
462,264,294,246,339
462,264,293,246,338
462,264,293,246,338
461,263,291,243,335
462,264,293,246,338
459,262,292,244,336
459,262,291,243,335
457,261,290,242,334
457,261,290,242,334
456,261,289,242,334
455,260,288,241,332
454,259,288,240,331
453,257,285,238,329
453,257,285,238,330
454,258,287,241,332
455,259,288,241,331
455,259,287,241,332
463,259,288,241,332
463,259,288,241,331
463,259,288,241,331
463,259,288,241,331
455,259,288,241,331
455,259,288,241,331
455,259,288,241,331
455,259,287,241,331
454,259,288,241,331
454,258,287,241,331
454,259,287,241,330
454,259,287,241,330
452,257,286,239,329
454,258,287,241,330
453,257,286,240,329
453,258,287,240,330
454,258,287,241,330
453,258,287,241,331
452,257,286,240,329
451,257,285,239,328
449,255,284,238,327
450,255,284,238,335
451,256,284,238,327
450,256,284,239,328
450,256,284,239,327
451,255,283,238,327
451,256,285,239,328
451,256,285,239,328
450,255,284,247,328
448,254,283,237,325
449,253,282,237,326
449,254,282,238,326
449,255,284,238,327
449,263,284,238,327
449,255,284,238,327
449,255,284,238,327
449,255,284,238,326
449,255,284,238,326
448,253,282,236,325
448,253,282,236,325
447,254,282,237,326
447,254,283,237,326
455,254,282,237,325
446,254,282,237,325
446,253,281,236,324
446,253,281,236,324
446,253,281,236,324
444,250,279,233,322
445,253,281,236,323
445,252,281,235,323
445,252,281,236,323
445,252,281,236,323
444,252,280,235,323
445,252,281,235,322
445,252,281,236,323
443,251,279,235,318
443,250,278,233,320
443,250,279,235,322
443,251,279,235,321
443,251,279,235,321
442,251,279,234,321
442,250,279,234,320
442,250,278,234,320
442,250,278,234,320
441,250,278,234,320
442,250,278,234,320
442,250,279,234,321
443,251,279,235,321
442,251,279,234,321
441,250,278,234,320
441,249,278,233,327
447,248,276,231,318
440,249,277,231,317
440,249,277,232,318
439,249,275,231,317
