S1,S2,S3,S4,S5
354,335,379,431,337
353,332,375,428,334
349,328,371,424,331
347,325,368,421,328
345,322,365,418,325
343,320,362,416,323
341,318,367,413,320
340,315,357,411,318
337,312,353,408,315
336,319,352,406,314
334,309,350,404,312
332,307,347,401,309
331,305,345,399,307
329,303,343,397,306
326,301,341,395,304
326,299,338,393,302
324,296,336,390,299
323,296,334,388,296
320,292,331,386,295
320,292,331,383,292
318,290,329,383,293
295,264,299,353,267
293,260,294,349,262
292,261,295,349,255
291,261,295,347,262
292,261,295,348,263
289,259,293,346,261
285,255,289,341,257
279,250,283,335,252
274,244,277,328,246
268,238,270,321,240
259,230,261,312,232
253,225,255,304,226
243,216,245,293,218
234,206,234,281,208
225,198,223,270,200
218,191,215,262,194
213,186,209,255,188
210,182,204,251,186
209,181,201,249,185
208,180,201,248,184
208,179,200,246,183
208,179,200,247,184
208,179,199,246,183
208,179,199,246,183
207,179,199,246,191
206,178,198,245,183
207,178,198,244,182
204,175,195,242,179
203,174,194,241,179
204,175,195,242,180
205,176,196,242,180
204,175,195,241,180
204,175,194,240,179
203,174,194,239,179
202,174,193,238,177
202,173,192,238,177
201,173,192,237,177
200,172,191,236,176
200,171,191,235,175
199,171,190,235,175
199,170,189,234,174
198,170,188,233,173
197,169,188,232,173
197,168,187,231,172
195,167,185,228,169
196,167,186,230,171
195,167,185,228,169
194,166,185,228,170
194,166,184,228,169
193,165,183,227,169
193,164,183,226,168
192,164,182,225,168
191,163,182,225,167
188,160,178,222,164
191,163,181,224,166
190,162,180,223,166
189,162,180,222,165
189,161,179,222,165
189,161,178,221,164
188,160,178,220,164
188,160,178,219,163
187,159,177,218,162
187,159,177,219,163
186,159,176,217,161
186,158,176,218,162
185,158,175,217,161
185,157,175,216,161
185,157,174,216,160
183,157,174,214,159
184,156,174,215,160
180,153,170,212,156
180,152,170,214,159
181,154,172,214,159
182,155,172,213,158
182,155,172,213,158
182,154,171,212,158
181,154,171,212,157
181,154,171,211,157
181,153,170,211,157
177,150,167,208,153
180,153,170,210,156
179,152,169,209,156
179,152,169,209,155
179,152,168,209,155
178,151,167,208,155
178,151,168,208,155
176,149,166,206,153
176,148,165,205,152
174,147,164,204,150
176,149,164,205,152
177,150,166,206,153
176,149,166,206,153
176,149,166,205,153
176,149,165,205,152
175,149,165,204,152
175,148,165,204,152
172,145,161,201,148
171,144,161,201,148
173,147,163,203,151
174,147,164,203,151
174,147,164,202,151
173,147,163,202,150
173,147,163,202,150
173,146,163,201,150
173,146,162,201,150
169,142,159,198,146
172,146,162,201,149
172,146,162,200,149
171,145,161,200,149
172,145,161,200,149
171,145,161,199,148
171,145,161,199,148
171,144,161,198,148
169,142,159,197,145
167,140,157,196,144
169,143,158,197,146
170,144,160,198,147
170,143,160,197,147
169,143,159,197,147
169,143,159,197,147
169,143,159,196,146
169,143,159,196,146
165,139,155,193,142
165,139,155,196,146
167,142,158,195,146
168,142,158,195,145
168,142,158,195,145
167,142,158,194,144
167,141,157,194,145
167,141,157,194,145
167,141,157,194,145
167,141,157,194,144
166,141,157,193,144
166,141,157,193,144
166,140,156,193,144
166,140,156,193,144
166,140,156,193,144
165,140,156,192,143
165,140,156,192,143
162,136,152,189,140
162,136,152,189,139
164,138,154,191,142
165,139,155,191,143
165,139,155,191,143
164,139,155,191,142
164,139,155,191,142
164,138,154,190,142
164,138,154,190,142
160,135,151,187,138
164,138,154,190,142
163,138,154,190,142
162,137,153,189,141
163,138,153,189,141
163,138,153,189,141
162,137,153,189,141
163,137,153,189,141
162,137,153,187,140
159,133,150,186,137
162,137,153,187,140
162,137,153,188,140
162,137,153,188,140
162,137,152,188,140
162,137,152,188,140
162,136,152,188,140
161,136,152,187,140
159,134,150,186,138
161,136,152,187,140
160,135,151,187,139
161,136,151,187,139
161,136,152,187,139
161,135,151,186,138
160,135,151,186,139
160,135,151,186,139
160,135,151,186,139
160,135,151,186,139
160,135,151,186,139
160,135,151,185,138
160,135,150,185,138
159,135,150,185,138
151,135,150,185,138
159,134,150,185,138
159,134,150,184,138
157,132,148,182,134
156,130,146,181,134
158,133,148,183,136
158,134,150,184,138
158,134,149,184,137
158,134,149,184,137
158,134,149,184,137
158,133,149,183,136
158,133,149,183,137
155,130,146,180,133
154,129,146,180,133
157,132,148,183,137
157,132,148,182,136
157,133,149,183,137
157,133,148,183,137
157,133,149,183,137
157,133,148,182,136
157,133,148,182,136
153,129,145,179,133
157,132,148,182,136
157,132,148,182,136
157,132,148,182,136
153,128,144,179,132
156,132,148,181,136
156,132,148,181,136
156,132,148,181,136
155,131,147,179,133
156,132,147,181,135
155,131,146,180,135
156,132,147,181,135
156,131,147,181,135
156,131,147,180,134
156,131,147,180,135
155,131,147,180,135
155,131,147,180,135
152,127,143,177,131
154,130,147,180,135
