S1,S2,S3,S4,S5
191,240,245,228,226
189,238,242,225,223
184,232,237,221,219
182,229,233,217,215
179,225,230,213,211
177,222,226,211,208
173,218,222,205,202
171,207,220,204,202
171,215,220,204,201
168,212,217,201,199
167,211,218,203,200
169,211,216,202,199
169,211,216,201,198
168,210,215,200,197
168,210,214,199,196
167,209,214,199,196
167,208,213,198,195
166,208,213,198,195
166,207,212,197,194
166,206,210,196,192
165,207,211,196,193
415,433,459,463,409
414,437,463,467,411
416,443,469,473,417
418,446,472,476,418
419,447,473,477,419
418,455,473,477,419
416,446,470,476,416
414,444,467,473,413
412,442,465,472,411
409,440,463,470,409
406,436,460,468,407
405,436,458,467,405
403,435,457,465,403
401,433,463,463,401
399,431,452,461,400
396,429,450,459,397
394,427,448,457,395
392,425,446,455,394
390,424,444,451,389
387,421,441,451,390
387,420,441,450,388
386,419,439,449,388
384,418,438,447,388
386,420,447,450,388
393,424,444,457,394
403,432,453,466,401
412,439,462,473,407
416,443,466,478,410
418,447,469,480,413
420,448,471,482,415
422,449,473,484,417
422,449,471,483,416
420,448,471,482,415
419,446,470,481,415
417,446,467,479,412
414,443,465,477,410
408,439,460,472,405
402,434,455,465,401
393,427,446,457,393
384,420,438,448,386
376,414,431,441,380
370,408,424,435,375
365,403,420,429,371
361,399,415,425,367
358,394,410,420,361
354,392,408,417,360
353,390,405,415,359
359,388,404,413,357
350,386,403,412,356
349,386,402,411,355
348,385,401,410,354
347,384,401,409,354
346,384,399,409,353
344,382,397,407,351
345,383,398,415,359
345,383,397,407,353
345,391,398,407,352
345,382,397,406,352
345,382,397,406,352
344,382,397,406,351
345,383,397,407,352
349,385,401,411,355
353,389,405,414,358
359,393,410,420,363
362,396,413,423,366
365,400,416,426,368
367,402,418,427,370
369,403,420,430,371
370,403,421,431,373
370,405,421,431,373
369,404,419,430,372
370,404,421,439,373
370,406,420,431,373
371,406,422,432,374
371,406,422,432,374
371,406,423,431,374
370,406,421,439,374
369,405,421,431,373
369,405,421,430,373
368,403,419,429,371
375,403,419,428,372
366,402,419,428,372
367,403,419,428,371
365,402,418,427,371
365,402,418,426,371
364,401,417,426,370
364,400,416,425,369
364,400,416,424,369
361,399,414,423,368
362,399,415,423,368
362,399,414,423,368
362,399,413,422,368
360,399,413,422,367
360,398,413,421,375
360,398,412,421,367
359,397,411,420,366
358,395,410,418,361
357,394,408,418,364
356,394,408,417,364
357,394,409,417,364
356,394,409,417,364
355,393,408,416,364
356,394,415,415,364
356,393,407,416,363
355,393,407,416,363
354,392,407,423,363
355,392,407,415,363
354,392,406,414,362
354,392,405,414,362
353,391,404,413,362
352,391,404,413,361
353,390,404,412,361
352,390,404,412,361
352,389,403,411,359
350,388,402,410,358
351,389,402,410,359
350,389,402,410,359
350,388,401,409,359
349,388,401,409,359
349,388,401,408,358
348,388,401,408,358
348,387,400,407,358
347,386,399,406,357
347,386,400,407,357
347,386,400,406,357
347,386,399,406,357
346,385,399,406,357
346,385,407,405,357
346,385,398,405,356
346,385,398,405,356
345,385,397,404,356
345,384,397,404,356
344,383,396,404,356
345,384,397,404,355
345,384,397,403,355
345,384,397,403,355
344,384,397,403,355
344,384,396,403,355
344,383,396,403,355
341,381,393,402,354
343,383,395,402,355
342,381,394,400,353
342,382,395,401,353
342,382,394,401,353
342,382,394,400,353
341,381,394,400,353
342,381,394,400,353
342,380,394,399,353
341,380,393,407,353
340,380,392,399,352
340,379,393,398,352
340,379,392,398,352
340,380,392,398,351
340,379,392,397,351
339,378,392,397,350
338,378,390,396,350
338,378,390,394,349
339,379,391,397,351
338,379,390,396,350
339,378,390,396,351
338,378,390,396,351
338,378,390,395,350
338,378,390,396,350
337,378,390,396,347
337,377,390,395,350
336,375,389,393,349
337,376,389,394,349
336,376,388,394,349
336,376,387,393,349
336,376,387,393,349
335,376,387,393,348
343,375,387,392,348
335,375,387,392,348
335,375,387,392,347
334,375,386,392,348
334,375,386,390,346
333,375,386,391,347
333,374,386,390,347
333,374,385,390,347
333,374,385,389,347
333,374,385,389,346
333,373,385,390,347
332,373,385,388,346
332,374,385,389,347
333,373,385,389,346
332,373,384,389,347
332,373,384,389,346
331,373,385,388,346
331,373,384,388,346
331,372,384,388,345
331,372,384,387,346
329,370,382,386,344
331,372,384,387,345
331,372,383,387,345
330,371,383,387,345
330,371,383,386,345
330,371,383,386,345
330,371,383,386,345
330,371,382,386,344
327,369,377,384,344
329,370,381,385,344
330,371,382,385,343
329,370,382,385,344
329,370,382,385,344
329,370,381,385,344
329,370,381,385,344
329,370,381,385,344
328,370,380,384,351
327,369,379,383,343
328,370,381,384,344
328,370,381,384,344
328,370,381,384,344
328,370,381,384,344
328,369,381,384,343
328,369,380,383,351
327,369,380,383,351
335,369,380,382,342
327,369,380,383,343
327,369,379,382,342
